feature_value,contribution
0.08960000000000001,0.639642087084795
0.09160000000000001,0.561092959615478
0.09360000000000002,0.49574636275373146
0.09560000000000002,0.4426680580545496
0.09760000000000002,0.400923807072927
0.09960000000000002,0.3695793713638583
0.10160000000000002,0.34770051248233785
0.10360000000000003,0.3343529919833601
0.10560000000000003,0.3286025714219197
0.107,0.32859726680444556
0.1076,0.32951501235301095
0.10760000000000003,0.3295150123530111
0.108,0.33041483093517254
0.1086,0.3321778563641919
0.109,0.3336178389055308
0.1096,0.3361560763316284
0.10960000000000003,0.33615607633162864
0.11,0.33808951090989464
0.1106,0.3413328924496954
0.111,0.34371306714263844
0.1116,0.3475915249127668
0.11160000000000003,0.34759152491276696
0.112,0.35037172779813647
0.1126,0.354815193915217
0.113,0.3579487130707629
0.1136,0.36288711965142034
0.11360000000000003,0.3628871196514206
0.114,0.36632724315489235
0.11460000000000001,0.3716905223157511
0.115,0.3753905382448989
0.11560000000000001,0.38110862210258367
0.11560000000000004,0.38110862210258395
0.116,0.38502181853515716
0.11660000000000001,0.3910246392062922
0.117,0.3951043042200409
0.11760000000000001,0.4013217938212513
0.11760000000000004,0.40132179382125155
0.11960000000000004,0.42259239636241785
0.12160000000000004,0.4439861912810774
0.12360000000000004,0.46456894013222466
0.12560000000000004,0.4834064044708543
0.12760000000000005,0.4995643458519604
0.12960000000000005,0.5121085258305378
0.13160000000000005,0.5201047059615811
0.13360000000000005,0.5226186478000844
0.13560000000000005,0.5187161129010424
0.13760000000000006,0.5074628628194497
0.13960000000000006,0.4879246591103006
0.14160000000000006,0.4591672633285899
0.14360000000000006,0.4202564370293116
0.14560000000000006,0.3702579417674605
0.14760000000000006,0.30823753909803125
0.14960000000000007,0.23634116784464893
0.15160000000000007,0.1690354759054631
0.15360000000000007,0.12386728844725382
0.155,0.114817697269499
0.15560000000000007,0.11838343063680126
0.156,0.12359289924711714
0.157,0.14755323118670827
0.15760000000000007,0.17013072764088571
0.158,0.18889204623412015
0.159,0.24980269753519999
